"110年05月24日每日收盤行情(半導體業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"4968","立積","2,079,645","1,970","981,096,887","469.50","482.00","464.50","478.50","+","16.00","478.00","13","478.50","2","28.02",
"5269","祥碩","851,480","1,294","1,114,132,255","1,275.00","1,340.00","1,260.00","1,340.00","+","60.00","1,335.00","9","1,340.00","2","29.45",
"5285","界霖","807,473","503","53,331,228","63.00","67.40","63.00","66.20","+","2.20","66.20","4","66.30","8","27.36",
"5471","松翰","4,432,682","2,275","384,551,537","87.10","90.50","86.70","90.10","+","2.00","90.10","9","90.20","3","13.15",
"6202","盛群","1,614,348","1,125","145,049,330","88.50","90.80","88.50","89.90","+","0.60","89.90","2","90.00","2","16.50",
"6239","力成","2,556,723","1,380","257,086,211","101.00","102.50","99.90","100.00","-","2.00","100.00","420","100.50","27","11.47",
"6243","迅杰","829,212","470","13,264,904","16.10","16.40","15.50","16.40","+","0.30","16.25","3","16.40","15","",
"6257","矽格","2,882,442","1,519","139,187,980","47.65","48.80","47.35","48.65","+","0.80","48.60","18","48.65","25","10.74",
"6271","同欣電","1,330,164","1,121","223,738,489","164.50","172.50","163.50","168.50","+","1.00","168.50","15","169.00","4","18.18",
"6415","矽力-KY","488,890","758","1,581,869,940","2,955.00","3,345.00","2,955.00","3,345.00","+","300.00","3,345.00","164","--","0","87.41",
"6451","訊芯-KY","562,681","447","59,754,451","104.00","108.50","103.50","107.00","+","1.50","107.00","9","107.50","3","12.57",
"6515","穎崴","102,232","136","25,313,208","249.00","251.00","243.00","249.50","+","0.50","249.00","3","250.00","5","15.90",
"6525","捷敏-KY","334,266","227","25,032,042","73.30","76.00","72.50","75.20","+","1.70","75.20","1","75.30","8","12.90",
"6531","愛普","4,540,604","4,212","2,781,796,281","591.00","636.00","585.00","634.00","+","31.00","632.00","13","635.00","32","41.71",
"6533","晶心科","2,597,653","2,511","1,011,405,204","370.00","405.00","367.00","399.00","+","23.00","399.00","1","399.50","1","169.07",
"6552","易華電","109,840","99","5,483,538","49.50","50.50","48.65","49.90","+","0.40","49.90","4","50.30","1","24.11",
"6573","虹揚-KY","150,001","75","2,371,216","15.50","16.30","15.50","16.10","+","0.55","15.95","1","16.10","4","",
"6756","威鋒電子","221,717","251","51,128,593","225.00","234.00","224.00","234.00","+","6.00","233.50","1","234.00","1","36.85",
"8016","矽創","9,899,147","7,310","2,516,859,133","237.00","264.00","233.00","261.00","+","21.00","261.00","59","261.50","5","16.66",
"8028","昇陽半導體","336,354","244","14,703,290","43.70","44.60","42.80","44.35","+","0.50","44.30","11","44.35","4","48.74",
"8081","致新","1,823,478","1,507","374,281,907","201.50","209.00","197.50","206.00","+","4.50","206.00","21","206.50","9","14.54",
"8110","華東","4,569,458","1,347","62,414,158","13.30","14.10","13.30","13.85","+","0.30","13.80","98","13.85","10","16.89",
"8131","福懋科","321,728","178","11,951,255","38.05","38.60","38.00","38.45","+","0.15","38.45","3","38.55","3","12.36",
"8150","南茂","2,422,274","1,413","102,965,104","41.80","42.90","41.65","42.80","+","0.45","42.80","5","42.85","40","11.92",
"8261","富鼎","4,523,239","2,231","269,840,594","57.70","60.80","57.10","60.20","+","1.10","60.10","48","60.20","26","16.96",
"8271","宇瞻","1,981,516","1,217","84,828,790","41.35","43.60","41.35","43.15","+","1.30","43.10","4","43.20","12","16.92",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

